include,id,name,osm_type,district,postcode,address,operator_id,osm_operator,osm_brewery,lat,lng,osm_id,notes
yes,big-penny-social-e17,Big Penny Social,pub,E17,E17 6AL,1 Priestley Way,,,yes,51.590609,-0.041550,way/23376430,
yes,prince-of-wales-e17,Prince of Wales,pub,E17,E17 6BD,58 St Andrews Road,,,,51.593204,-0.036733,way/405915943,
yes,queens-arms-e17,Queens Arms,pub,E17,E17 9NJ,42 Orford Road,,,,51.582452,-0.013581,way/198577468,
yes,st-james-bar-e17,St James Bar,pub,E17,E17 7PF,30 St James's Street,,,,51.580495,-0.033067,way/200217289,
yes,the-bell-e17,The Bell,pub,E17,E17 4NE,617 Forest Road,stonegate,Stonegate,,51.590269,-0.016962,way/164570576,
yes,the-castle-2-e17,The Castle,pub,E17,E17 9LB,15 Grosvenor Rise East,,,,51.580637,-0.011205,way/214590379,
yes,the-chequers-e17,The Chequers,pub,E17,E17 7BX,145 High Street,,,,51.583493,-0.026670,way/196917803,
yes,the-coppermill-e17,The Coppermill,pub,E17,E17 7HF,205 Coppermill Lane,,,,51.579786,-0.041195,way/682382151,
yes,the-dukes-head-e17,The Duke's Head,pub,E17,E17 3HX,112 Wood Street,,,,51.588110,-0.004430,way/205876522,
yes,the-flower-pot-e17,The Flower Pot,pub,E17,E17 3HX,126-128 Wood Street,,,,51.587590,-0.003923,way/205593042,
yes,the-goose-e17,The Goose,pub,E17,E17 3AX,264 Hoe Street,stonegate,Stonegate,various,51.583377,-0.019140,node/249672846,
yes,the-lord-palmerston-e17,The Lord Palmerston,pub,E17,E17 5JN,Forest Road,stonegate,Stonegate,,51.588786,-0.030265,way/376872583,
yes,the-nags-head-e17,The Nag's Head,pub,E17,E17 9LP,9 Orford Road,,,,51.584068,-0.011071,way/655249175,
yes,the-raglan-e17,The Raglan,pub,E17,E17 9HX,199 Shernhall Street,,,various,51.580961,-0.003522,way/219045183,
yes,the-tavern-on-the-hill-e17,The Tavern On The Hill,pub,E17,E17 5RG,318 Higham Hill Road,,,,51.596754,-0.034908,way/139911657,
yes,the-village-public-house-e17,The Village Public House,pub,E17,E17 9NL,31 Orford Road,,,,51.582669,-0.011778,way/198639606,
yes,the-william-morris-e17,The William Morris,pub,E17,E17 4JD,807-809 Forest Road,,,,51.591204,-0.007768,node/249672865,
yes,true-craft-e17,True Craft,pub,E17,E17 7PF,18-20 St James's Street,,,yes,51.581008,-0.033426,way/940451832,
yes,untraditional-pub-e17,Untraditional Pub,pub,E17,E17 7FY,35 St James Street,,,yes,51.580594,-0.032275,node/11061470043,Website is a brewery's: check it isn't a taproom pouring only its own beer
yes,ye-olde-rose-and-crown-e17,Ye Olde Rose and Crown,pub,E17,E17 4RP,53-55 Hoe Street,,,yes,51.587778,-0.020433,way/159296346,"Postcode is the nearest one found, not from the pub address"
no,east-london-brewery-e17,East London Brewery,pub,E17,E17 5RB,2 Lockwood Way,,,,51.595416,-0.041700,way/412076101,May be a brewery taproom (excluded from v1)
no,exale-taproom-e17,Exale Taproom,pub,E17,E17 5QJ,Blackhorse Lane,,,,51.593248,-0.041469,node/7056928285,May be a brewery taproom (excluded from v1)
no,signature-brew-taproom-e17,Signature Brew Taproom,pub,E17,E17 5QJ,Blackhorse Lane,,Signature Brew Ltd,Signature Brew,51.591551,-0.042769,way/1208115927,May be a brewery taproom (excluded from v1)
no,40ft-brewery-e17,40ft Brewery,bar,E17,E17 5RB,10 Lockwood Way,,Hackney Brewery,various,51.595827,-0.041572,way/23376385,Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub); May be a brewery taproom (excluded from v1)
no,arubar-lounge-e17,Arubar Lounge,bar,E17,E17 4NA,524-528 Forest Road,,,,51.589879,-0.016444,node/2068080583,"Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub); Postcode is the nearest one found, not from the pub address"
no,clapton-craft-e17,Clapton Craft,bar,E17,E17 3LX,,,,,51.587188,-0.003377,node/8601783081,"Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub); Postcode is the nearest one found, not from the pub address"
no,drift-cocktail-bar-e17,Drift Cocktail Bar,bar,E17,E17 7JR,45 Selborne Walk,,,,51.582691,-0.024594,node/11340695339,Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub)
no,forest-wines-e17,Forest Wines,bar,E17,E17 6HE,149 Forest Road,,,,51.587733,-0.036645,way/404333920,Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub)
no,malt-haus-e17,Malt Haus,bar,E17,E17 9HQ,Shernhall Street,,Pillars Brewery,,51.583937,-0.008590,node/2252043107,Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub)
no,mothers-ruin-gin-factory-e17,Mother's Ruin Gin Factory,bar,E17,E17 9HQ,Shernhall Street,,,,51.583828,-0.008169,node/2252043080,Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub)
no,pillars-brewery-e17,Pillars Brewery,bar,E17,E17 9HQ,Shernhall Street,,,,51.583742,-0.008493,node/2252043085,Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub); May be a brewery taproom (excluded from v1)
no,pretty-decent-e17,Pretty Decent,bar,E17,E17 5QJ,Blackhorse Lane,,,,51.591923,-0.041469,node/4090944751,Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub); May be a brewery taproom (excluded from v1)
no,renegade-urban-winery-e17,Renegade Urban Winery,bar,E17,E17 5RB,,,Renegade Urban Winery,,51.595381,-0.043216,node/11470415255,"Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub); Postcode is the nearest one found, not from the pub address"
no,trap-taproom-e17,Trap Taproom,bar,E17,E17 9HQ,Shernhall Street,,The Real Al Company,,51.583818,-0.008534,node/2252043099,Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub); May be a brewery taproom (excluded from v1)
no,chop-shop-tavern-e17,Chop Shop Tavern,pub,E10,E10 6RE,141 Tilbury Road,,,,51.570583,-0.009928,node/13717302373,
no,coach-and-horses-e17,Coach and Horses,pub,E10,E10 5NA,391 High Road Leyton,,,various,51.561560,-0.010502,way/696129533,
no,gravity-well-taproom-e17,Gravity Well Taproom,pub,E10,E10 6JT,Arch 155 Midland Road,,,Gravity Well,51.569714,-0.007739,node/8355222754,May be a brewery taproom (excluded from v1)
no,hare-and-hounds-e17,Hare and Hounds,pub,E10,E10 7LD,,,,,51.568797,-0.028763,node/472446463,"Postcode is the nearest one found, not from the pub address"
no,king-william-iv-e17,King William IV,pub,E10,E10 6AE,816 High Road Leyton,,,Brodie's,51.574809,-0.011355,way/142241624,
no,prince-of-wales-2-e17,Prince of Wales,pub,E10,E10 5AB,777 High Road Leyton,,,,51.573685,-0.009858,way/444200909,
no,the-auctioneer-e17,The Auctioneer,pub,E10,E10 7DN,596 Lea Bridge Road,,,,51.574469,-0.013768,way/444593912,
no,the-european-e17,The European,pub,E10,E10 7EQ,557-559 Lea Bridge Road,,,,51.574926,-0.013861,way/444642776,
no,blondies-brewery-e17,Blondies Brewery,bar,E10,E10 7JQ,258 Church Road,,,yes,51.569639,-0.024341,way/1013543384,Tagged as a bar in OpenStreetMap (bars come later; say yes if it is really a pub); May be a brewery taproom (excluded from v1)
